regs,iq,rob,numCycles,ROBFull,IQFull,FullRegs,outdir
256,64,64,16130976,2086430,NA,66210,/lab1/out/regs256-iq64-rob64
64,4,4,55540187,16062957,717,NA,/lab1/out/regs64-iq4-rob4
